State,Obama,McCain,Start,End,Pollster
WV,44,53,10/19,21-Oct,Opinion Research
WV,43,52,10/20,20-Oct,Rasmussen
WV,41,47,10/16,17-Oct,Mason-Dixon
WV,47,49,10/13,13-Oct,Insider Advantage
WV,50,42,10/4,8-Oct,ARG
WV,42,50,9/24,24-Sep,Rasmussen
WV,46,50,9/21,23-Sep,Opinion Research
WV,45,49,9/14,16-Sep,ARG
WV,39,44,9/5,8-Sep,Mark Blankenship
WV,37,45,6/2,2-Jun,Rasmussen
WV,35,53,2/26,28-Feb,SurveyUSA
WI,55,39,10/28,29-Oct,SurveyUSA
WI,52,42,10/21,28-Oct,U. of Wisconsin
WI,54,38,10/21,28-Oct,U. of Wisconsin
WI,51,44,10/23,23-Oct,Rasmussen
WI,53,40,10/19,22-Oct,U. of Wisconsin
WI,53,40,10/16,20-Oct,Financial Dynamics
WI,51,43,10/18,19-Oct,SurveyUSA
WI,51,38,10/9,17-Oct,St. Norbert Coll.
WI,51,39,10/16,17-Oct,Mason-Dixon
WI,51,36,10/8,15-Oct,U. of Wisconsin
WI,54,37,10/8,12-Oct,Quinnipiac U.
WI,51,46,10/3,6-Oct,Opinion Research
WI,52,42,10/5,6-Oct,SurveyUSA
WI,54,44,10/6,6-Oct,Rasmussen
WI,49,42,9/14,21-Sep,Quinnipiac U.
WI,50,45,9/18,21-Sep,ARG
WI,45,44,9/14,17-Sep,U. of Wisconsin
WI,49,45,9/14,16-Sep,Opinion Research
WI,50,47,9/14,16-Sep,Opinion Research
WI,48,46,9/15,15-Sep,Rasmussen
WI,47,43,8/5,5-Aug,Rasmussen
WI,44,38,8/3,4-Aug,Wisconsin Policy Res. Inst.
WI,50,39,7/14,22-Jul,Quinnipiac U.
WI,50,39,7/8,8-Jul,Rasmussen
WI,52,39,6/17,24-Jun,Quinnipiac U.
WI,52,43,6/13,16-Jun,SurveyUSA
WI,50,37,6/8,10-Jun,U. of Wisconsin
WI,45,43,6/5,5-Jun,Rasmussen
WI,48,42,5/16,18-May,SurveyUSA
WI,43,47,5/5,5-May,Rasmussen
WI,47,43,4/15,24-Apr,U. of Wisconsin
WI,49,44,4/11,13-Apr,SurveyUSA
WI,46,42,3/25,5-Apr,St. Norbert Coll.
WI,46,48,3/26,26-Mar,Rasmussen
WI,48,44,3/14,16-Mar,SurveyUSA
WI,51,40,2/26,28-Feb,SurveyUSA
WI,44,43,2/21,21-Feb,Rasmussen
WI,52,42,2/15,17-Feb,SurveyUSA
WY,37,58,10/18,19-Oct,SurveyUSA
WY,32,58,10/13,14-Oct,Mason-Dixon
WY,28,66,9/9,11-Sep,ARG
WY,39,58,9/10,10-Sep,Rasmussen
WY,25,62,8/13,15-Aug,Mason-Dixon
WY,35,54,2/26,28-Feb,SurveyUSA
